Frame number	1449
First frame	1
Point frequency	50
Analog frequency	50

Time	Hip Center			Spine			Shoulder Center			Head			Left Shoulder			Left Elbow			Left Wrist			Left Hand			Right Shoulder			Right Elbow			Right Wrist			Right Hand			Left Hip			Left Knee			Left Ankle			Left Foot			Right Hip			Right Knee			Right Ankle			Right Foot			Left Knee Angle			Right Knee Angle			Left Foot Angle			Right Foot Angle			Left Elbow Angle			Right Elbow Angle			Left Shoulder Angle			Right Shoulder Angle		
s	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees
	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
0.16	0.122967	0.351463	2.90473	0.128957	0.419247	2.91889	0.108582	0.800692	2.91552	0.0860561	0.969509	2.90324	-0.031563	0.634991	2.97718	-0.0610543	0.438718	3.03147	0.0412165	0.372783	2.86092	0.0642986	0.364991	2.77713	0.171237	0.621284	2.80818	0.284594	0.388315	2.78194	0.202388	0.185931	2.77204	0.179647	0.161549	2.74981	0.0690737	0.286106	2.93634	0.086654	-0.115647	2.95261	0.162598	-0.503129	2.98336	0.107752	-0.575794	2.96071	0.181702	0.297705	2.85988	0.0365285	-0.186191	2.85158	0.231976	-0.495743	2.9124	0.168292	-0.55814	2.88546	171.17	171.17	171.17	130.153	130.153	130.153	128.827	128.827	128.827	98.7035	98.7035	98.7035	90.8852	90.8852	90.8852	131.984	131.984	131.984	149.509	149.509	149.509	155.492	155.492	155.492
0.18	0.121791	0.351199	2.90422	0.129008	0.41963	2.91893	0.108653	0.799881	2.91613	0.0882278	0.971458	2.90442	-0.0301505	0.639452	2.98032	-0.0604292	0.44348	3.03355	0.0584839	0.37706	2.86102	0.0865144	0.369265	2.77582	0.173757	0.616521	2.8114	0.296601	0.382131	2.78926	0.224252	0.183605	2.77384	0.227136	0.121618	2.76337	0.0646748	0.287863	2.93718	0.12585	-0.12611	2.993	0.258375	-0.524666	3.02084	0.228273	-0.606427	3.02551	0.179404	0.295385	2.85808	0.00937566	-0.155686	2.8274	0.135522	-0.511143	2.86266	0.0567852	-0.555731	2.81144	169.361	169.361	169.361	138.861	138.861	138.861	141.46	141.46	141.46	95.9915	95.9915	95.9915	90.2943	90.2943	90.2943	132.469	132.469	132.469	149.129	149.129	149.129	155.261	155.261	155.261
0.2	0.120197	0.352554	2.90372	0.128843	0.421003	2.91886	0.108942	0.797511	2.91627	0.0960684	0.972472	2.90265	-0.028383	0.64229	2.98327	-0.0595843	0.446734	3.03543	0.0706577	0.380373	2.8615	0.101264	0.371115	2.78017	0.175561	0.614732	2.81353	0.316083	0.391433	2.79893	0.254514	0.20193	2.77859	0.248563	0.137714	2.7678	0.0619764	0.292659	2.93736	0.16576	-0.158665	3.03525	0.321589	-0.545327	3.0601	0.238172	-0.593118	3.0167	0.176066	0.295625	2.85754	-0.00610093	-0.135207	2.81013	0.0800828	-0.524699	2.84044	-0.0040725	-0.54114	2.77024	167.669	167.669	167.669	143.229	143.229	143.229	95.7349	95.7349	95.7349	86.1497	86.1497	86.1497	89.8048	89.8048	89.8048	129.918	129.918	129.918	148.754	148.754	148.754	152.738	152.738	152.738
0.22	0.119183	0.357279	2.90292	0.129183	0.425591	2.91836	0.109347	0.796685	2.91561	0.095248	0.973888	2.89792	-0.0271204	0.644855	2.98477	-0.0587772	0.454178	3.03673	-0.149204	0.41094	2.88604	-0.154457	0.395905	2.82961	0.178395	0.617095	2.81522	0.335017	0.412716	2.80715	0.280909	0.220975	2.78067	0.264929	0.156973	2.76978	0.0626924	0.302219	2.93616	0.181776	-0.170353	3.05244	0.36687	-0.544217	3.08886	0.283331	-0.60078	3.05068	0.173429	0.299394	2.85817	-0.0125974	-0.115519	2.79758	-0.00916717	-0.51369	2.78385	-0.0794659	-0.536181	2.72217	165.313	165.313	165.313	154.82	154.82	154.82	95.4536	95.4536	95.4536	104.446	104.446	104.446	95.1911	95.1911	95.1911	126.678	126.678	126.678	148.706	148.706	148.706	149.817	149.817	149.817
0.24	0.117632	0.366386	2.90185	0.128866	0.435404	2.91726	0.10956	0.798219	2.91442	0.091392	0.975736	2.89136	-0.0261071	0.649425	2.98597	-0.0584057	0.458958	3.03718	-0.169625	0.423576	2.88329	-0.222287	0.415038	2.82135	0.18385	0.628778	2.81653	0.34643	0.431994	2.81266	0.297386	0.246915	2.77815	0.278988	0.174296	2.77033	0.0630602	0.310427	2.93479	0.188504	-0.171264	3.05843	0.389752	-0.538171	3.10225	0.341326	-0.601791	3.08665	0.169887	0.313418	2.86066	-0.0125745	-0.103119	2.79192	-0.0608355	-0.496033	2.7433	-0.145184	-0.524792	2.68195	163.959	163.959	163.959	163.426	163.426	163.426	112.131	112.131	112.131	115.171	115.171	115.171	93.6397	93.6397	93.6397	125.131	125.131	125.131	148.427	148.427	148.427	148.995	148.995	148.995
0.26	0.116051	0.375964	2.90018	0.128229	0.445377	2.91557	0.11018	0.801084	2.91245	0.0846475	0.978972	2.88538	-0.0245874	0.654556	2.98507	-0.0580472	0.462638	3.03735	-0.204368	0.430366	2.88501	-0.264183	0.427362	2.83327	0.187183	0.638877	2.81659	0.351804	0.442026	2.81493	0.300002	0.262793	2.77534	0.279296	0.194501	2.76753	0.0633351	0.317136	2.93348	0.198379	-0.17326	3.06779	0.431986	-0.516092	3.13489	0.380601	-0.578024	3.11403	0.166629	0.325898	2.86068	-0.00137096	-0.0928483	2.79566	-0.0602735	-0.489939	2.7399	-0.141087	-0.523432	2.68363	160.717	160.717	160.717	166.707	166.707	166.707	102.95	102.95	102.95	120.188	120.188	120.188	94.1577	94.1577	94.1577	123.229	123.229	123.229	148.454	148.454	148.454	148.988	148.988	148.988
0.28	0.115566	0.383589	2.89777	0.128303	0.453021	2.91324	0.11085	0.80389	2.91012	0.0803408	0.980972	2.8811	-0.0234958	0.657973	2.98491	-0.0575428	0.465941	3.03732	-0.214966	0.413995	2.88977	-0.268889	0.434548	2.84704	0.189268	0.645418	2.8162	0.354536	0.448615	2.81571	0.295454	0.274043	2.772	0.272542	0.208268	2.76405	0.0640127	0.322305	2.93167	0.166317	-0.16987	3.03063	0.438565	-0.497439	3.14407	0.400595	-0.568299	3.12829	0.165442	0.334622	2.8591	0.0285083	-0.0881159	2.82714	-0.0215019	-0.489134	2.76536	-0.0900176	-0.538353	2.72034	152.491	152.491	152.491	168.298	168.298	168.298	107.875	107.875	107.875	131.583	131.583	131.583	99.7659	99.7659	99.7659	120.374	120.374	120.374	148.538	148.538	148.538	149.194	149.194	149.194
0.3	0.115418	0.387392	2.89537	0.128299	0.456722	2.91154	0.111602	0.805535	2.90826	0.0776473	0.98218	2.87844	-0.014818	0.647144	2.95744	-0.0539601	0.471678	3.03943	-0.146112	0.351774	2.91446	-0.196327	0.333958	2.87697	0.19057	0.649068	2.81539	0.352904	0.450562	2.81189	0.271875	0.278925	2.76396	0.245131	0.216294	2.758	0.0646855	0.325419	2.92929	0.158147	-0.167075	3.01941	0.441032	-0.475752	3.15594	0.40868	-0.562681	3.13863	0.164838	0.338743	2.857	0.0420529	-0.0936148	2.83864	0.0278062	-0.492952	2.8079	-0.0304989	-0.553425	2.77689	148.264	148.264	148.264	166.061	166.061	166.061	111.63	111.63	111.63	136.271	136.271	136.271	111.808	111.808	111.808	114.833	114.833	114.833	153.18	153.18	153.18	150.341	150.341	150.341
0.32	0.114729	0.38605	2.89177	0.127941	0.455819	2.90886	0.112596	0.804585	2.9061	0.07543	0.981275	2.87572	-0.0105299	0.641505	2.9458	-0.0513733	0.474488	3.04097	-0.111302	0.307882	2.95777	-0.149895	0.272242	2.92463	0.191543	0.649254	2.81289	0.332043	0.428697	2.79425	0.241515	0.258175	2.75546	0.193481	0.194868	2.73949	0.0651511	0.325924	2.92645	0.125985	-0.138036	2.95522	0.40093	-0.433865	3.14572	0.389483	-0.537935	3.16797	0.162362	0.333159	2.85185	0.0489317	-0.0999317	2.84463	0.0749638	-0.504508	2.84352	0.0132976	-0.557407	2.80861	139.615	139.615	139.615	161.627	161.627	161.627	131.834	131.834	131.834	123.591	123.591	123.591	125.555	125.555	125.555	119.745	119.745	119.745	151.776	151.776	151.776	155.358	155.358	155.358
0.34	0.1096	0.374155	2.88833	0.124842	0.444957	2.90538	0.116144	0.795169	2.90085	0.0816652	0.973286	2.87547	-0.00634951	0.635078	2.94093	-0.0464266	0.475258	3.04516	-0.0503024	0.264192	3.01432	-0.0872305	0.22485	2.97668	0.190101	0.63482	2.80566	0.301649	0.395622	2.77432	0.193569	0.233174	2.74017	0.137383	0.188488	2.71084	0.0594895	0.317981	2.92553	-0.0143295	-0.0905909	2.94796	0.270785	-0.395705	3.11916	0.239726	-0.459292	3.08455	0.155944	0.317185	2.84621	0.0490633	-0.129438	2.86592	0.147694	-0.519958	2.89006	0.0906537	-0.568529	2.85736	124.932	124.932	124.932	152.388	152.388	152.388	97.4664	97.4664	97.4664	112.369	112.369	112.369	137.513	137.513	137.513	121.965	121.965	121.965	149.914	149.914	149.914	158.442	158.442	158.442
