Frame number	352
First frame	1
Point frequency	50
Analog frequency	50

Time	Hip Center			Spine			Shoulder Center			Head			Left Shoulder			Left Elbow			Left Wrist			Left Hand			Right Shoulder			Right Elbow			Right Wrist			Right Hand			Left Hip			Left Knee			Left Ankle			Left Foot			Right Hip			Right Knee			Right Ankle			Right Foot			Left Knee Angle			Right Knee Angle			Left Foot Angle			Right Foot Angle			Left Elbow Angle			Right Elbow Angle			Left Shoulder Angle			Right Shoulder Angle		
s	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees	degrees
	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
0	0.306879	0.311713	2.33445	0.310442	0.362204	2.38983	0.304125	0.679557	2.4122	0.294284	0.850573	2.41582	0.158581	0.55404	2.38829	0.0270676	0.370548	2.25312	-0.109647	0.318813	2.08656	-0.15327	0.337548	2.02517	0.433293	0.546155	2.347	0.551091	0.419119	2.16057	0.519369	0.432181	1.95797	0.511504	0.459474	1.94304	0.239895	0.25193	2.3279	0.202619	0.00799487	2.04657	0.186925	-0.216014	1.93761	0.266843	-0.137253	1.96713	0.375973	0.243748	2.30603	0.369168	-0.039162	2.16496	0.284747	-0.21591	1.99581	0.314024	-0.148017	2.06502	156.848	156.848	156.848	155.456	155.456	155.456	40.2151	40.2151	40.2151	2.81865	2.81865	2.81865	149.008	149.008	149.008	128.247	128.247	128.247	152.995	152.995	152.995	152.232	152.232	152.232
0.02	0.30683	0.309312	2.33092	0.310917	0.359989	2.38605	0.303681	0.679026	2.40434	0.291617	0.849721	2.40553	0.155975	0.552046	2.38129	0.026263	0.40274	2.26947	-0.0777437	0.322394	2.12434	-0.137037	0.313559	2.04175	0.422906	0.551612	2.32708	0.534031	0.436522	2.13434	0.505582	0.445232	1.94019	0.504128	0.455872	1.93495	0.239683	0.24962	2.32576	0.197412	0.0250472	2.03025	0.173613	-0.214027	1.94754	0.253218	-0.142423	1.99707	0.375056	0.24163	2.30223	0.382756	-0.0385564	2.20187	0.291445	-0.24123	2.07543	0.323137	-0.157853	2.1224	146.483	146.483	146.483	154.591	154.591	154.591	39.5615	39.5615	39.5615	3.54579	3.54579	3.54579	159.676	159.676	159.676	132.528	132.528	132.528	155.947	155.947	155.947	153.568	153.568	153.568
0.04	0.304154	0.311278	2.32868	0.309467	0.365032	2.38233	0.296924	0.696338	2.38324	0.258239	0.860471	2.37884	0.147365	0.557427	2.36941	0.0261426	0.421559	2.27854	-0.0635609	0.322928	2.14141	-0.119837	0.303024	2.05663	0.406152	0.572145	2.30269	0.504223	0.482895	2.12267	0.501981	0.451463	1.9341	0.500273	0.457549	1.93613	0.237297	0.251098	2.32592	0.195019	0.0385731	2.03367	0.166692	-0.210371	1.94567	0.247549	-0.144328	1.99125	0.370366	0.247662	2.30134	0.387746	-0.034644	2.22009	0.306573	-0.255541	2.12901	0.337125	-0.162097	2.16445	145.709	145.709	145.709	156.984	156.984	156.984	41.255	41.255	41.255	2.35315	2.35315	2.35315	160.71	160.71	160.71	148.718	148.718	148.718	156.777	156.777	156.777	151.94	151.94	151.94
0.06	0.297721	0.326564	2.32675	0.30461	0.38393	2.37761	0.287156	0.713436	2.36762	0.234519	0.8719	2.35891	0.131442	0.574415	2.35336	0.0251544	0.43528	2.28047	-0.0551507	0.326679	2.14811	-0.107836	0.303696	2.06543	0.391916	0.594724	2.28385	0.483724	0.514771	2.10829	0.499394	0.456153	1.92683	0.502828	0.445734	1.89675	0.23256	0.263933	2.32891	0.194191	0.0585216	2.07882	0.168129	-0.171483	1.95203	0.238191	-0.125286	1.98631	0.363649	0.266287	2.30117	0.39009	-0.0253854	2.23302	0.331602	-0.260389	2.16838	0.348649	-0.159791	2.18665	158.366	158.366	158.366	161.329	161.329	161.329	45.406	45.406	45.406	6.40803	6.40803	6.40803	158.173	158.173	158.173	158.307	158.307	158.307	158.547	158.547	158.547	152.09	152.09	152.09
0.08	0.290988	0.340077	2.32322	0.297189	0.401175	2.37075	0.268707	0.728485	2.34597	0.214989	0.879818	2.33729	0.118191	0.588406	2.33745	0.0213248	0.447144	2.27712	-0.0520268	0.330619	2.14812	-0.100601	0.307662	2.07064	0.382578	0.609798	2.27208	0.473212	0.53594	2.10548	0.49331	0.46107	1.92053	0.509202	0.456697	1.93044	0.226999	0.276956	2.32809	0.19359	0.0670088	2.10557	0.172758	-0.1494	1.95534	0.188946	-0.144631	1.91061	0.358423	0.279459	2.30052	0.39053	-0.0171754	2.23903	0.343603	-0.261316	2.18569	0.355154	-0.156737	2.19679	168.034	168.034	168.034	163.303	163.303	163.303	115.056	115.056	115.056	7.58289	7.58289	7.58289	156.196	156.196	156.196	159.231	159.231	159.231	158.967	158.967	158.967	148.817	148.817	148.817
0.1	0.283675	0.350089	2.31503	0.289471	0.411872	2.36016	0.258034	0.734162	2.33227	0.199187	0.878542	2.3109	0.105634	0.59714	2.3213	0.0149021	0.453872	2.27197	-0.0525185	0.333544	2.14176	-0.0966273	0.312665	2.07432	0.374309	0.619315	2.26075	0.467086	0.545251	2.10143	0.498614	0.462787	1.92531	0.511386	0.462404	1.94481	0.220641	0.286592	2.32081	0.191549	0.066309	2.11916	0.176117	-0.141852	1.95554	0.17817	-0.111675	1.96631	0.353161	0.288913	2.29639	0.3818	-0.00107066	2.21697	0.360424	-0.249181	2.15902	0.365613	-0.149494	2.16365	175.165	175.165	175.165	169.536	169.536	169.536	18.4984	18.4984	18.4984	10.6238	10.6238	10.6238	152.743	152.743	152.743	161.371	161.371	161.371	159.718	159.718	159.718	149.974	149.974	149.974
0.12	0.274319	0.354005	2.30036	0.280102	0.415253	2.3435	0.247614	0.732711	2.31597	0.189397	0.872866	2.28723	0.0978285	0.600755	2.31043	0.00759871	0.456491	2.26553	-0.056325	0.333313	2.13522	-0.0947137	0.316143	2.07874	0.368024	0.622426	2.24999	0.463358	0.547859	2.09805	0.510976	0.456667	1.92941	0.512783	0.464799	1.95215	0.211155	0.288735	2.30483	0.189874	0.0267469	2.09656	0.182594	-0.168468	1.94462	0.167253	-0.117259	1.95516	0.345545	0.29451	2.28575	0.361238	0.00184903	2.1761	0.344911	-0.23549	2.08569	0.343301	-0.139249	2.10347	177.961	177.961	177.961	173.44	173.44	173.44	31.5864	31.5864	31.5864	11.3617	11.3617	11.3617	151.309	151.309	151.309	164.417	164.417	164.417	158.964	158.964	158.964	150.34	150.34	150.34
0.14	0.267308	0.35469	2.28919	0.272537	0.415366	2.32858	0.236226	0.718023	2.28816	0.185522	0.860706	2.2618	0.0918973	0.60122	2.30072	0.000345652	0.455403	2.26048	-0.0615551	0.329735	2.13143	-0.0942897	0.318862	2.08467	0.360075	0.616118	2.23452	0.465127	0.539073	2.09502	0.521208	0.443368	1.93196	0.517586	0.450417	1.94912	0.205352	0.289255	2.29551	0.183792	0.0123818	2.09428	0.185955	-0.175637	1.93797	0.165886	-0.115956	1.96363	0.338253	0.295798	2.27475	0.341174	-0.0173801	2.11851	0.297207	-0.231061	1.98953	0.294997	-0.142512	2.03055	174.45	174.45	174.45	168.573	168.573	168.573	23.2504	23.2504	23.2504	12.8937	12.8937	12.8937	150.064	150.064	150.064	163.075	163.075	163.075	154.666	154.666	154.666	151.413	151.413	151.413
